Momentum,Epoch,Training MSE,VS Accuracy,VS MSE,Test Accuracy,Test MSE
0.30000000000000004,232,2.723737687476499E-5,0.8456375838926175,9.922810684579838E-5,0.8629032258064516,0.018795525494276794
0.30000000000000004,435,1.5562167532551445E-6,0.8926174496644296,2.7691346669832876E-6,0.8588709677419355,0.019917403746097812
0.4,281,1.6363584270537082E-5,0.8859060402684564,8.199412172359678E-5,0.8669354838709677,0.017706165452653484
0.4,158,1.1248593732594899E-4,0.8389261744966443,9.49094239230304E-4,0.842741935483871,0.02473009885535899
0.4,204,3.302654813684001E-5,0.8389261744966443,4.580992864328874E-7,0.842741935483871,0.02473009885535899
0.4,253,2.7255668585148493E-5,0.87248322147651,2.2250535685058737E-4,0.8387096774193549,0.026014568158168563
0.4,747,2.1708703764782485E-7,0.8859060402684564,3.748556970015457E-10,0.8790322580645161,0.014633194588969825
0.4,271,3.244704664938594E-5,0.8590604026845637,0.003585459362144748,0.8629032258064516,0.018795525494276794
0.4,532,1.6527489100108122E-6,0.8993288590604027,5.412645526685296E-4,0.907258064516129,0.008601066597294491
0.4,347,3.7043068329330306E-6,0.8657718120805369,1.2362802693885814E-7,0.8870967741935484,0.012747138397502604
0.4,190,9.747038899437314E-5,0.8791946308724832,2.701444308222753E-4,0.8669354838709677,0.017706165452653484
0.4,143,1.4128308671321915E-4,0.87248322147651,5.1906337576810816E-9,0.8790322580645161,0.014633194588969825
0.5,181,9.371137085117792E-5,0.8322147651006712,0.0020758526118898023,0.8387096774193549,0.026014568158168563
0.5,274,2.5308810851164196E-5,0.8657718120805369,5.257597077461618E-6,0.8991935483870968,0.010161940686784604
0.5,297,5.305905595069715E-6,0.8791946308724832,6.2360349358952404E-6,0.8669354838709677,0.017706165452653484
0.5,655,3.201859489573972E-7,0.8389261744966443,0.0018722983366948442,0.8669354838709677,0.017706165452653484
0.5,184,7.957408535186178E-5,0.8590604026845637,0.001226072853103976,0.8629032258064516,0.018795525494276794
0.5,368,4.0884450110481975E-6,0.8926174496644296,6.886920973118388E-7,0.8911290322580645,0.01185288761706556
0.5,255,3.412802171522614E-5,0.8456375838926175,1.7036958063460482E-5,0.8548387096774194,0.02107180020811654
0.5,291,3.7625348676831748E-6,0.8859060402684564,2.5279980098012497E-5,0.8790322580645161,0.014633194588969825
0.5,126,2.3094107727300708E-4,0.8791946308724832,0.0017060555295352739,0.8709677419354839,0.016649323621227886
0.5,421,1.3047649602027832E-6,0.8657718120805369,2.793103633148974E-9,0.842741935483871,0.02473009885535899
0.6,260,1.0345849628115902E-5,0.912751677852349,2.401839905132522E-7,0.8951612903225806,0.010991155046826226
0.6,193,8.411318541658401E-5,0.8859060402684564,0.002047483362082966,0.9032258064516129,0.009365244536940692
0.6,264,3.66995251793633E-5,0.8523489932885906,0.0018980912456918369,0.8266129032258065,0.030063085327783543
0.6,366,2.903322270480728E-6,0.8859060402684564,3.38201736063256E-6,0.8830645161290323,0.013673907388137358
0.6,153,1.4313871539897266E-4,0.8590604026845637,4.021431374192854E-4,0.8629032258064516,0.018795525494276794
0.6,225,2.382377086684698E-5,0.8791946308724832,1.4729775358469116E-10,0.875,0.015625
0.6,331,4.9187890328751174E-6,0.8657718120805369,0.0018807765096174455,0.875,0.015625
0.6,212,6.23062811832744E-5,0.8859060402684564,3.945772701676547E-6,0.8870967741935484,0.012747138397502604
0.6,353,3.4022344503419155E-6,0.912751677852349,1.624469538358915E-8,0.8991935483870968,0.010161940686784604
0.6,224,3.107779139701648E-5,0.8993288590604027,0.0012685183247589142,0.8830645161290323,0.013673907388137358
0.7,209,5.922726625458918E-5,0.9060402684563759,0.0011862923302313566,0.8870967741935484,0.012747138397502604
0.7,192,6.482555254279421E-5,0.8389261744966443,9.010039614678376E-4,0.8588709677419355,0.019917403746097812
0.7,274,9.909187795763838E-6,0.8791946308724832,7.682837366987965E-6,0.8709677419354839,0.016649323621227886
0.7,283,1.7122603099570247E-5,0.8859060402684564,1.675799183670013E-5,0.8709677419354839,0.016649323621227886
0.7,223,3.691839353785991E-5,0.8590604026845637,6.78232991416549E-5,0.8548387096774194,0.02107180020811654
0.7,275,3.083210601845927E-5,0.8859060402684564,0.0012483000883306875,0.8669354838709677,0.017706165452653484
0.7,231,4.083106100203218E-5,0.8590604026845637,4.117495624879651E-5,0.8629032258064516,0.018795525494276794
0.7,342,1.0805939586223528E-5,0.87248322147651,7.804634062336526E-4,0.8629032258064516,0.018795525494276794
0.7,237,2.4501152569768923E-5,0.8926174496644296,1.1834500431015353E-4,0.8870967741935484,0.012747138397502604
0.7,176,8.298714077758548E-5,0.8187919463087249,2.9367128924968303E-4,0.8387096774193549,0.026014568158168563
0.7999999999999999,288,6.332620148082546E-6,0.8993288590604027,1.7796717901115794E-11,0.8870967741935484,0.012747138397502604
0.7999999999999999,182,8.802417324484635E-5,0.8657718120805369,0.001633518169871217,0.8548387096774194,0.02107180020811654
0.7999999999999999,269,1.5152551248825209E-5,0.8456375838926175,7.362214591844663E-4,0.8548387096774194,0.02107180020811654
0.7999999999999999,238,4.1249860217031034E-5,0.8657718120805369,2.1970852615026647E-4,0.8790322580645161,0.014633194588969825
0.7999999999999999,228,2.3382778080140154E-5,0.8926174496644296,1.1800485191238047E-4,0.8669354838709677,0.017706165452653484
0.7999999999999999,282,2.1945018432231802E-5,0.8791946308724832,3.7443466281122375E-7,0.8870967741935484,0.012747138397502604
0.7999999999999999,307,4.102135669274918E-6,0.912751677852349,2.478448092395982E-8,0.8870967741935484,0.012747138397502604
0.7999999999999999,146,1.3855228240534364E-4,0.8791946308724832,5.834328293355483E-4,0.842741935483871,0.02473009885535899
0.7999999999999999,167,9.920417758700603E-5,0.8389261744966443,2.3599824472985023E-6,0.875,0.015625
